timepoint,BA.2.9,BA.1.1,BA.2.16,BA.2.37,B.1,BA.2.23,BA.1.1.1,BA.5.1,BE.1.1,BA.5.2,BA.4.1,BA.5.2.1,BE.1,BA.2.12.1,BA.5.1.22,BA.5,BA.2.11,BF.1,BA.4,BA.5.3,BA.4.8,BA.2.12,BA.2.87,BA.1,BA.2.3.16,BA.1.17.2,B.1.617.2,BA.2.3,XU,BF.14,BF.5,BA.5.2.3,BA.5.2.20,BA.5.2.26,BE.1.1.2,BF.7,BA.5.1.28,XAS,CC.1,BL.1,BQ.1,BF.32,XBB.1,BA.5.9,BQ.1.1.46,BN.1.3.3,BN.1.3.1,BN.1.3,XBU,BN.1.2.3,BF.11,BA.5.1.11,BF.7.6,BF.7.9,BF.7.15,CT.1,BA.2.73,BA.5.2.27,BY.1,BF.17,BA.5.2.6,BY.1.1,BA.1.18,BA.1.17,AY.43,BA.2,AY.46.6,BA.2.56,BA.5.1.5,BA.2.75.1,BA.2.79,BQ.1.1,BN.1.3.4,BN.1,BA.5.2.36,BQ.1.1.44,XAH,BA.2.36,BF.12,BA.5.5,BA.5.3.1,AY.120,BA.2.3.10,CH.1.1,BQ.1.10,BQ.1.1.7,BF.7.4,BF.7.19,BQ.1.9,BE.1.2,BQ.1.1.3,BF.7.5,BF.11.3,BQ.1.3.2,BF.7.24,BQ.1.31,BA.2.3.20,BM.1.1.3,BA.2.75.5,BA.5.2.57,BA.2.75.6,BA.4.1.2,CM.11,BA.5.1.37,others,sample_name,tool_name
23,0.13,,0.4,,,0.1,,0.08,0.02,,,0.03,0.03,0.15,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v2.0.0-23,freyja_v2.0.0
25,,,0.18,,,0.08,,0.16,0.15,0.05,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v2.0.0-25,freyja_v2.0.0
27,,,,,,0.04,,0.24,0.14,0.06,0.02,0.09,0.04,,,0.1,,0.03,,0.01,,0.06,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v2.0.0-27,freyja_v2.0.0
29,,,,,,0.08,,0.19,0.09,0.06,,0.1,0.02,,,0.28,,0.04,0.04,0.01,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v2.0.0-29,freyja_v2.0.0
31,,0.01,,,,0.06,,0.24,0.08,0.14,,0.13,0.02,,,,,,,,,,,,,,,,,0.12,0.02,,,,,0.02,,0.03,0.03,0.02,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v2.0.0-31,freyja_v2.0.0
34,,,,,,0.01,,0.24,0.1,0.19,,0.17,,,,0.06,,,,,,,,,,,,,,0.1,,,0.01,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v2.0.0-34,freyja_v2.0.0
36,,,,,,0.02,,0.2,0.05,0.25,,0.19,,,,0.02,,,,,,,,,,,,,,0.1,0.04,0.03,0.02,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v2.0.0-36,freyja_v2.0.0
38,,,,,,,,0.2,0.06,0.25,,0.12,0.02,,,0.04,,,0.02,,,,,,,,,,,0.13,,,0.02,0.02,,0.03,,,,0.02,,,,0.03,,,,,,,,,,,,,,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v2.0.0-38,freyja_v2.0.0
40,,,,,,0.02,,0.19,0.01,0.22,,0.09,,,,,,,,,0.01,,,,,,,,,0.03,0.03,,0.02,,,0.04,,0.02,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.08,0.02,0.02,,0.05,0.02,0.04,freyja_v2.0.0-40,freyja_v2.0.0
42,,,,,,,,0.11,0.04,0.21,,0.08,,,,,,,0.02,,,,,,,,,,,0.06,0.02,,,,,0.03,,,,,,,,0.03,,,,0.02,,,,,,,,,,,,,0.04,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,0.15,0.03,0.02,0.01,0.01,,,,0.04,freyja_v2.0.0-42,freyja_v2.0.0
45,,,,,,,,0.08,,0.15,,0.09,,,,,,,,0.02,,,,,,,,,,0.09,0.04,,0.03,,,0.1,0.04,,,,0.05,,0.05,0.04,,,,0.02,,,,,0.02,,,,,0.02,,,,0.01,,,,,,,,,,0.04,0.03,0.02,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v2.0.0-45,freyja_v2.0.0
47,,,,,,,,0.02,,0.13,,0.09,,,,0.02,,,,,,,,,,,,,,0.03,,,,,,0.05,,,,,0.06,,0.13,0.08,0.06,0.05,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,freyja_v2.0.0-47,freyja_v2.0.0
49,,,,,,,,0.01,,0.13,,,,,,,,,,0.05,,,,,,,,,,0.06,,,,,,0.14,,,,,0.11,,0.05,,0.01,,0.02,0.02,0.02,,,,0.01,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,0.01,0.04,0.02,0.02,0.01,0.01,,,,,,,,,0.04,freyja_v2.0.0-49,freyja_v2.0.0
51,,,,,,,,,,0.06,,0.04,,,,0.03,,,,,,,,,,,,,,0.05,,,,,,0.11,,,,,0.03,,0.03,,,,,0.02,,,0.01,0.02,0.01,,,,,,,,,,,,,,,,,,,0.31,,0.02,,,,,,,,,,0.06,0.04,0.03,0.03,0.02,0.02,0.02,0.01,,,,,,,,,,,,,,0.04,freyja_v2.0.0-51,freyja_v2.0.0
